CODGEO;DEP;LIBGEO;Zonage en vigueur depuis le 5 septembre 2025;Reclassement 5 septembre 2025
02334;02;Fresnoy-le-Grand;C;Non
02335;02;Fressancourt;C;Non
02336;02;Frières-Faillouël;C;Non
02337;02;Froidestrées;C;Non
02338;02;Froidmont-Cohartille;C;Non
02339;02;Gandelu;B2;Non
02340;02;Gauchy;B2;Non
02341;02;Gercy;C;Non
02342;02;Gergny;C;Non
02343;02;Germaine;C;Non
02345;02;Gibercourt;C;Non
02346;02;Gizy;C;Non
02347;02;Gland;C;Non
02349;02;Goudelancourt-lès-Berrieux;C;Non
02350;02;Goudelancourt-lès-Pierrepont;C;Non
02351;02;Goussancourt;C;Non
02352;02;Gouy;C;Non
02353;02;Grandlup-et-Fay;C;Non
02354;02;Grandrieux;C;Non
02355;02;Gricourt;C;Non
02356;02;Grisolles;C;Non
02357;02;Gronard;C;Non
02358;02;Grougis;C;Non
02359;02;Grugies;B2;Non
02360;02;Villeneuve-sur-Aisne;C;Non
02361;02;Guise;C;Non
02362;02;Guivry;C;Non
02363;02;Guny;C;Non
02364;02;Guyencourt;C;Non
02366;02;Hannapes;C;Non
02367;02;Happencourt;C;Non
02368;02;Haramont;C;Non
02369;02;Harcigny;C;Non
